"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Adderall","54092-381-01","1.25 mg/1,                         1.25  mg/1,                         1.25  mg/1,                         1.25  mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA021303","Takeda Pharmaceuticals America, Inc.","54092-381","Dextroamphetamine Sulfate, Dextroamphetamine Saccharate, Amphetamine Sulfate and Amphetamine Aspartate","AMPHETAMINE ASPARTATE MONOHYDRATE;  AMPHETAMINE SULFATE;  DEXTROAMPHETAMINE SACCHARATE;  DEXTROAMPHETAMINE SULFATE","HUMAN PRESCRIPTION DRUG","05/22/2002","N/A","NDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (54092-381-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Adderall","54092-383-01","2.5 mg/1,                         2.5  mg/1,                         2.5  mg/1,                         2.5  mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA021303","Takeda Pharmaceuticals America, Inc.","54092-383","Dextroamphetamine Sulfate, Dextroamphetamine Saccharate, Amphetamine Sulfate and Amphetamine Aspartate","AMPHETAMINE ASPARTATE MONOHYDRATE;  AMPHETAMINE SULFATE;  DEXTROAMPHETAMINE SACCHARATE;  DEXTROAMPHETAMINE SULFATE","HUMAN PRESCRIPTION DRUG","05/22/2002","N/A","NDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (54092-383-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Adderall","54092-385-01","3.75 mg/1,                         3.75  mg/1,                         3.75  mg/1,                         3.75  mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA021303","Takeda Pharmaceuticals America, Inc.","54092-385","Dextroamphetamine Sulfate, Dextroamphetamine Saccharate, Amphetamine Sulfate and Amphetamine Aspartate","AMPHETAMINE ASPARTATE MONOHYDRATE;  AMPHETAMINE SULFATE;  DEXTROAMPHETAMINE SACCHARATE;  DEXTROAMPHETAMINE SULFATE","HUMAN PRESCRIPTION DRUG","05/22/2002","N/A","NDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (54092-385-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Adderall","54092-387-01","5 mg/1,                         5  mg/1,                         5  mg/1,                         5  mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA021303","Takeda Pharmaceuticals America, Inc.","54092-387","Dextroamphetamine Sulfate, Dextroamphetamine Saccharate, Amphetamine Sulfate and Amphetamine Aspartate","AMPHETAMINE ASPARTATE MONOHYDRATE;  AMPHETAMINE SULFATE;  DEXTROAMPHETAMINE SACCHARATE;  DEXTROAMPHETAMINE SULFATE","HUMAN PRESCRIPTION DRUG","05/22/2002","N/A","NDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (54092-387-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Adderall","54092-389-01","6.25 mg/1,                         6.25  mg/1,                         6.25  mg/1,                         6.25  mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA021303","Takeda Pharmaceuticals America, Inc.","54092-389","Dextroamphetamine Sulfate, Dextroamphetamine Saccharate, Amphetamine Sulfate and Amphetamine Aspartate","AMPHETAMINE ASPARTATE MONOHYDRATE;  AMPHETAMINE SULFATE;  DEXTROAMPHETAMINE SACCHARATE;  DEXTROAMPHETAMINE SULFATE","HUMAN PRESCRIPTION DRUG","05/22/2002","N/A","NDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (54092-389-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Adderall","54092-391-01","7.5 mg/1,                         7.5  mg/1,                         7.5  mg/1,                         7.5  mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA021303","Takeda Pharmaceuticals America, Inc.","54092-391","Dextroamphetamine Sulfate, Dextroamphetamine Saccharate, Amphetamine Sulfate and Amphetamine Aspartate","AMPHETAMINE ASPARTATE MONOHYDRATE;  AMPHETAMINE SULFATE;  DEXTROAMPHETAMINE SACCHARATE;  DEXTROAMPHETAMINE SULFATE","HUMAN PRESCRIPTION DRUG","05/22/2002","N/A","NDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (54092-391-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Adderall","57844-105-01","1.25 mg/1,                         1.25  mg/1,                         1.25  mg/1,                         1.25  mg/1","TABLET","ORAL","ANDA040422","Teva Pharmaceuticals USA, Inc.","57844-105","Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate","AMPHETAMINE ASPARTATE MONOHYDRATE;  AMPHETAMINE SULFATE;  DEXTROAMPHETAMINE SACCHARATE;  DEXTROAMPHETAMINE SULFATE","HUMAN PRESCRIPTION DRUG","11/13/2014","N/A","ANDA","100 TABLET in 1 BOTTLE (57844-105-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Adderall","57844-110-01","2.5 mg/1,                         2.5  mg/1,                         2.5  mg/1,                         2.5  mg/1","TABLET","ORAL","ANDA040422","Teva Pharmaceuticals USA, Inc.","57844-110","Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate","AMPHETAMINE ASPARTATE MONOHYDRATE;  AMPHETAMINE SULFATE;  DEXTROAMPHETAMINE SACCHARATE;  DEXTROAMPHETAMINE SULFATE","HUMAN PRESCRIPTION DRUG","02/03/2014","N/A","ANDA","100 TABLET in 1 BOTTLE (57844-110-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Adderall","57844-112-01","3.125 mg/1,                         3.125  mg/1,                         3.125  mg/1,                         3.125  mg/1","TABLET","ORAL","ANDA040422","Teva Pharmaceuticals USA, Inc.","57844-112","Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate","AMPHETAMINE ASPARTATE MONOHYDRATE;  AMPHETAMINE SULFATE;  DEXTROAMPHETAMINE SACCHARATE;  DEXTROAMPHETAMINE SULFATE","HUMAN PRESCRIPTION DRUG","06/18/2014","N/A","ANDA","100 TABLET in 1 BOTTLE (57844-112-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Adderall","57844-115-01","3.75 mg/1,                         3.75  mg/1,                         3.75  mg/1,                         3.75  mg/1","TABLET","ORAL","ANDA040422","Teva Pharmaceuticals USA, Inc.","57844-115","Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate","AMPHETAMINE ASPARTATE MONOHYDRATE;  AMPHETAMINE SULFATE;  DEXTROAMPHETAMINE SACCHARATE;  DEXTROAMPHETAMINE SULFATE","HUMAN PRESCRIPTION DRUG","06/30/2014","N/A","ANDA","100 TABLET in 1 BOTTLE (57844-115-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
