"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Atomoxetine","0093-3542-56","10 mg/1","CAPSULE","ORAL","ANDA079022","Teva Pharmaceuticals USA, Inc.","0093-3542","Atomoxetine","ATOMOXETINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/30/2017","N/A","ANDA","30 CAPSULE in 1 BOTTLE (0093-3542-56)","Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"Atomoxetine","0093-3543-56","18 mg/1","CAPSULE","ORAL","ANDA079022","Teva Pharmaceuticals USA, Inc.","0093-3543","Atomoxetine","ATOMOXETINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/30/2017","N/A","ANDA","30 CAPSULE in 1 BOTTLE (0093-3543-56)","Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"Atomoxetine","0093-3544-56","25 mg/1","CAPSULE","ORAL","ANDA079022","Teva Pharmaceuticals USA, Inc.","0093-3544","Atomoxetine","ATOMOXETINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/30/2017","N/A","ANDA","30 CAPSULE in 1 BOTTLE (0093-3544-56)","Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"Atomoxetine","0093-3545-56","40 mg/1","CAPSULE","ORAL","ANDA079022","Teva Pharmaceuticals USA, Inc.","0093-3545","Atomoxetine","ATOMOXETINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/30/2017","N/A","ANDA","30 CAPSULE in 1 BOTTLE (0093-3545-56)","Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"Atomoxetine","0093-3546-56","60 mg/1","CAPSULE","ORAL","ANDA079022","Teva Pharmaceuticals USA, Inc.","0093-3546","Atomoxetine","ATOMOXETINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/30/2017","N/A","ANDA","30 CAPSULE in 1 BOTTLE (0093-3546-56)","Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"Atomoxetine","0093-3547-56","80 mg/1","CAPSULE","ORAL","ANDA079022","Teva Pharmaceuticals USA, Inc.","0093-3547","Atomoxetine","ATOMOXETINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/30/2017","N/A","ANDA","30 CAPSULE in 1 BOTTLE (0093-3547-56)","Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"Atomoxetine","0093-3548-56","100 mg/1","CAPSULE","ORAL","ANDA079022","Teva Pharmaceuticals USA, Inc.","0093-3548","Atomoxetine","ATOMOXETINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/30/2017","N/A","ANDA","30 CAPSULE in 1 BOTTLE (0093-3548-56)","Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"Atomoxetine","0904-6908-04","40 mg/1","CAPSULE","ORAL","ANDA090609","Major Pharmaceuticals","0904-6908","Atomoxetine","ATOMOXETINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/23/2018","N/A","ANDA","30 BLISTER PACK in 1 CARTON (0904-6908-04)  / 1 CAPSULE in 1 BLISTER PACK","Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"atomoxetine","16714-755-01","10 mg/1","CAPSULE","ORAL","ANDA079019","Northstar Rx LLC","16714-755","atomoxetine","ATOMOXETINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","06/01/2018","N/A","ANDA","30 CAPSULE in 1 BOTTLE (16714-755-01)","Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"atomoxetine","16714-756-01","18 mg/1","CAPSULE","ORAL","ANDA079019","Northstar Rx LLC","16714-756","atomoxetine","ATOMOXETINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","06/01/2018","N/A","ANDA","30 CAPSULE in 1 BOTTLE (16714-756-01)","Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
