"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Aplenzin","0187-5810-30","174 mg/1","TABLET, EXTENDED RELEASE","ORAL","NDA022108","Bausch Health US, LLC","0187-5810","bupropion hydrobromide","BUPROPION HYDROBROMIDE","HUMAN PRESCRIPTION DRUG","04/23/2008","N/A","NDA","30 TABLET, EXTENDED RELEASE in 1 BOTTLE (0187-5810-30)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2027"
"Aplenzin","0187-5810-07","174 mg/1","TABLET, EXTENDED RELEASE","ORAL","NDA022108","Bausch Health US, LLC","0187-5810","bupropion hydrobromide","BUPROPION HYDROBROMIDE","HUMAN PRESCRIPTION DRUG","04/23/2008","N/A","NDA","7 TABLET, EXTENDED RELEASE in 1 BOTTLE (0187-5810-07)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2027"
"Aplenzin","0187-5811-07","348 mg/1","TABLET, EXTENDED RELEASE","ORAL","NDA022108","Bausch Health US, LLC","0187-5811","bupropion hydrobromide","BUPROPION HYDROBROMIDE","HUMAN PRESCRIPTION DRUG","04/23/2008","N/A","NDA","7 TABLET, EXTENDED RELEASE in 1 BOTTLE (0187-5811-07)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2027"
"Aplenzin","0187-5811-30","348 mg/1","TABLET, EXTENDED RELEASE","ORAL","NDA022108","Bausch Health US, LLC","0187-5811","bupropion hydrobromide","BUPROPION HYDROBROMIDE","HUMAN PRESCRIPTION DRUG","04/23/2008","N/A","NDA","30 TABLET, EXTENDED RELEASE in 1 BOTTLE (0187-5811-30)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2027"
"Aplenzin","0187-5812-30","522 mg/1","TABLET, EXTENDED RELEASE","ORAL","NDA022108","Bausch Health US, LLC","0187-5812","bupropion hydrobromide","BUPROPION HYDROBROMIDE","HUMAN PRESCRIPTION DRUG","04/23/2008","N/A","NDA","30 TABLET, EXTENDED RELEASE in 1 BOTTLE (0187-5812-30)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2027"
"Aplenzin","0187-5812-07","522 mg/1","TABLET, EXTENDED RELEASE","ORAL","NDA022108","Bausch Health US, LLC","0187-5812","bupropion hydrobromide","BUPROPION HYDROBROMIDE","HUMAN PRESCRIPTION DRUG","04/23/2008","N/A","NDA","7 TABLET, EXTENDED RELEASE in 1 BOTTLE (0187-5812-07)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2027"
"AUVELITY","81968-045-30","105 mg/1,                         45  mg/1","TABLET, MULTILAYER, EXTENDED RELEASE","ORAL","NDA215430","Axsome Therapeutics, Inc.","81968-045","dextromethorphan hydrobromide, bupropion hydrochloride","BUPROPION HYDROCHLORIDE;  DEXTROMETHORPHAN HYDROBROMIDE","HUMAN PRESCRIPTION DRUG","08/18/2022","N/A","NDA","30 TABLET, MULTILAYER, EXTENDED RELEASE in 1 BOTTLE (81968-045-30)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"AUVELITY","81968-045-31","105 mg/1,                         45  mg/1","TABLET, MULTILAYER, EXTENDED RELEASE","ORAL","NDA215430","Axsome Therapeutics, Inc.","81968-045","dextromethorphan hydrobromide, bupropion hydrochloride","BUPROPION HYDROCHLORIDE;  DEXTROMETHORPHAN HYDROBROMIDE","HUMAN PRESCRIPTION DRUG","05/10/2024","N/A","NDA","1 BOTTLE in 1 CARTON (81968-045-31)  / 30 TABLET, MULTILAYER, EXTENDED RELEASE in 1 BOTTLE","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","Yes","12/31/2026"
"AUVELITY","81968-045-60","105 mg/1,                         45  mg/1","TABLET, MULTILAYER, EXTENDED RELEASE","ORAL","NDA215430","Axsome Therapeutics, Inc.","81968-045","dextromethorphan hydrobromide, bupropion hydrochloride","BUPROPION HYDROCHLORIDE;  DEXTROMETHORPHAN HYDROBROMIDE","HUMAN PRESCRIPTION DRUG","06/28/2024","N/A","NDA","60 TABLET, MULTILAYER, EXTENDED RELEASE in 1 BOTTLE (81968-045-60)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"AUVELITY","81968-045-14","105 mg/1,                         45  mg/1","TABLET, MULTILAYER, EXTENDED RELEASE","ORAL","NDA215430","Axsome Therapeutics, Inc.","81968-045","dextromethorphan hydrobromide, bupropion hydrochloride","BUPROPION HYDROCHLORIDE;  DEXTROMETHORPHAN HYDROBROMIDE","HUMAN PRESCRIPTION DRUG","09/18/2024","N/A","NDA","1 BOTTLE in 1 CARTON (81968-045-14)  / 14 TABLET, MULTILAYER, EXTENDED RELEASE in 1 BOTTLE","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","Yes","12/31/2026"
"bupropion","0615-8262-39","150 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA202304","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8262","bupropion hydrochloride","BUPROPION HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/08/2019","02/28/2026","ANDA","30 TABLET, EXTENDED RELEASE in 1 BLISTER PACK (0615-8262-39)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","N/A"
"bupropion","63187-521-90","300 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA201567","Proficient Rx LP","63187-521","bupropion","BUPROPION HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/01/2018","N/A","ANDA","90 TABLET, EXTENDED RELEASE in 1 BOTTLE (63187-521-90)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"bupropion","63187-521-60","300 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA201567","Proficient Rx LP","63187-521","bupropion","BUPROPION HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/01/2018","N/A","ANDA","60 TABLET, EXTENDED RELEASE in 1 BOTTLE (63187-521-60)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"bupropion","63187-521-30","300 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA201567","Proficient Rx LP","63187-521","bupropion","BUPROPION HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/01/2018","N/A","ANDA","30 TABLET, EXTENDED RELEASE in 1 BOTTLE (63187-521-30)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"bupropion","65841-780-05","300 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA201567","Zydus Lifesciences Limited","65841-780","bupropion","BUPROPION HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/15/2014","N/A","ANDA","500 TABLET, EXTENDED RELEASE in 1 BOTTLE (65841-780-05)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"bupropion","65841-780-06","300 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA201567","Zydus Lifesciences Limited","65841-780","bupropion","BUPROPION HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/15/2014","N/A","ANDA","30 TABLET, EXTENDED RELEASE in 1 BOTTLE (65841-780-06)","Aminoketone [EPC],  Dopamine Uptake Inhibitors [MoA],  Increased Dopamine Activity [PE],  Increased Norepinephrine Activity [PE],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
