"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Apraclonidine","61314-665-10","5.75 mg/mL","SOLUTION","OPHTHALMIC","NDA020258","Sandoz Inc","61314-665","Apraclonidine","APRACLONIDINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/19/2009","N/A","NDA AUTHORIZED GENERIC","10 mL in 1 BOTTLE (61314-665-10)","Adrenergic alpha-Agonists [MoA],  alpha-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Apraclonidine","61314-665-05","5.75 mg/mL","SOLUTION","OPHTHALMIC","NDA020258","Sandoz Inc","61314-665","Apraclonidine","APRACLONIDINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/19/2009","N/A","NDA AUTHORIZED GENERIC","5 mL in 1 BOTTLE (61314-665-05)","Adrenergic alpha-Agonists [MoA],  alpha-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Catapres-TTS-1","82089-101-34",".1 mg/d","PATCH","TRANSDERMAL","NDA018891","Technomed Inc.","82089-101","clonidine transdermal system","CLONIDINE","HUMAN PRESCRIPTION DRUG","03/01/2022","10/30/2026","NDA","4 POUCH in 1 CARTON (82089-101-34)  / 1 PATCH in 1 POUCH / 1 d in 1 PATCH","Adrenergic alpha2-Agonists [MoA],  Central alpha-2 Adrenergic Agonist [EPC]","N/A","No","N/A"
"Catapres-TTS-2","82089-102-34",".2 mg/d","PATCH","TRANSDERMAL","NDA018891","Technomed Inc.","82089-102","clonidine transdermal system","CLONIDINE","HUMAN PRESCRIPTION DRUG","03/01/2022","10/30/2026","NDA","4 POUCH in 1 CARTON (82089-102-34)  / 1 PATCH in 1 POUCH / 1 d in 1 PATCH","Adrenergic alpha2-Agonists [MoA],  Central alpha-2 Adrenergic Agonist [EPC]","N/A","No","N/A"
"Catapres-TTS-3","82089-103-34",".3 mg/d","PATCH","TRANSDERMAL","NDA018891","Technomed Inc.","82089-103","clonidine transdermal system","CLONIDINE","HUMAN PRESCRIPTION DRUG","03/01/2022","10/30/2026","NDA","4 POUCH in 1 CARTON (82089-103-34)  / 1 PATCH in 1 POUCH / 1 d in 1 PATCH","Adrenergic alpha2-Agonists [MoA],  Central alpha-2 Adrenergic Agonist [EPC]","N/A","No","N/A"
"Clonidine","0378-0871-99",".1 mg/d","PATCH","TRANSDERMAL","ANDA076166","Mylan Pharmaceuticals Inc.","0378-0871","clonidine","CLONIDINE","HUMAN PRESCRIPTION DRUG","02/25/2013","N/A","ANDA","4 POUCH in 1 CARTON (0378-0871-99)  / 1 PATCH in 1 POUCH (0378-0871-16)  / 7 d in 1 PATCH","Adrenergic alpha2-Agonists [MoA],  Central alpha-2 Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Clonidine","0378-0872-99",".2 mg/d","PATCH","TRANSDERMAL","ANDA076166","Mylan Pharmaceuticals Inc.","0378-0872","clonidine","CLONIDINE","HUMAN PRESCRIPTION DRUG","03/04/2013","N/A","ANDA","4 POUCH in 1 CARTON (0378-0872-99)  / 1 PATCH in 1 POUCH (0378-0872-16)  / 7 d in 1 PATCH","Adrenergic alpha2-Agonists [MoA],  Central alpha-2 Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Clonidine","0378-0873-99",".3 mg/d","PATCH","TRANSDERMAL","ANDA076166","Mylan Pharmaceuticals Inc.","0378-0873","clonidine","CLONIDINE","HUMAN PRESCRIPTION DRUG","03/01/2013","N/A","ANDA","4 POUCH in 1 CARTON (0378-0873-99)  / 1 PATCH in 1 POUCH (0378-0873-16)  / 7 d in 1 PATCH","Adrenergic alpha2-Agonists [MoA],  Central alpha-2 Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Clonidine","39822-2000-1","100 ug/mL","INJECTION, SOLUTION","EPIDURAL","ANDA203167","XGen Pharmaceuticals DJB, Inc.","39822-2000","Clonidine","CLONIDINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","10/29/2013","N/A","ANDA","10 mL in 1 VIAL, SINGLE-DOSE (39822-2000-1)","Adrenergic alpha2-Agonists [MoA],  Central alpha-2 Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Clonidine","39822-2010-1","500 ug/mL","INJECTION, SOLUTION","EPIDURAL","ANDA203167","XGen Pharmaceuticals DJB, Inc.","39822-2010","Clonidine","CLONIDINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","10/29/2013","N/A","ANDA","10 mL in 1 VIAL, SINGLE-DOSE (39822-2010-1)","Adrenergic alpha2-Agonists [MoA],  Central alpha-2 Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
