"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"AZSTARYS","65038-286-99","5.2 mg/1,                         26.1  mg/1","CAPSULE","ORAL","NDA212994","Corium, LLC.","65038-286","Serdexmethylphenidate and Dexmethylphenidate","DEXMETHYLPHENIDATE HYDROCHLORIDE;  SERDEXMETHYLPHENIDATE CHLORIDE","HUMAN PRESCRIPTION DRUG","07/16/2021","N/A","NDA","100 CAPSULE in 1 BOTTLE, PLASTIC (65038-286-99)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"AZSTARYS","65038-429-99","7.8 mg/1,                         39.2  mg/1","CAPSULE","ORAL","NDA212994","Corium, LLC.","65038-429","Serdexmethylphenidate and Dexmethylphenidate","DEXMETHYLPHENIDATE HYDROCHLORIDE;  SERDEXMETHYLPHENIDATE CHLORIDE","HUMAN PRESCRIPTION DRUG","07/16/2021","N/A","NDA","100 CAPSULE in 1 BOTTLE, PLASTIC (65038-429-99)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"AZSTARYS","65038-561-99","10.4 mg/1,                         52.3  mg/1","CAPSULE","ORAL","NDA212994","Corium, LLC.","65038-561","Serdexmethylphenidate and Dexmethylphenidate","DEXMETHYLPHENIDATE HYDROCHLORIDE;  SERDEXMETHYLPHENIDATE CHLORIDE","HUMAN PRESCRIPTION DRUG","07/16/2021","N/A","NDA","100 CAPSULE in 1 BOTTLE, PLASTIC (65038-561-99)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Dexmethylphenidate Hydrochloride","0093-5045-01","25 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","ANDA202731","Teva Pharmaceuticals USA, Inc.","0093-5045","Dexmethylphenidate Hydrochloride","DEXMETHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/05/2017","N/A","ANDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0093-5045-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Dexmethylphenidate Hydrochloride","0093-5046-01","35 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","ANDA202731","Teva Pharmaceuticals USA, Inc.","0093-5046","Dexmethylphenidate Hydrochloride","DEXMETHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/05/2017","N/A","ANDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0093-5046-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Dexmethylphenidate Hydrochloride","0093-5550-01","5 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","ANDA078908","Teva Pharmaceuticals USA, Inc.","0093-5550","Dexmethylphenidate Hydrochloride","DEXMETHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","11/10/2014","N/A","ANDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0093-5550-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Dexmethylphenidate Hydrochloride","0093-5551-01","10 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","ANDA078908","Teva Pharmaceuticals USA, Inc.","0093-5551","Dexmethylphenidate Hydrochloride","DEXMETHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/02/2015","N/A","ANDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0093-5551-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Dexmethylphenidate Hydrochloride","0093-5552-01","15 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","ANDA078908","Teva Pharmaceuticals USA, Inc.","0093-5552","Dexmethylphenidate Hydrochloride","DEXMETHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/21/2014","N/A","ANDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0093-5552-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Dexmethylphenidate Hydrochloride","0093-5553-01","20 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","ANDA078908","Teva Pharmaceuticals USA, Inc.","0093-5553","Dexmethylphenidate Hydrochloride","DEXMETHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","06/22/2015","N/A","ANDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0093-5553-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Dexmethylphenidate Hydrochloride","0093-5554-01","30 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","ANDA202731","Teva Pharmaceuticals USA, Inc.","0093-5554","Dexmethylphenidate Hydrochloride","DEXMETHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/22/2014","N/A","ANDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0093-5554-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
