"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Lisdexamfetamine Dimesylate","0054-0370-25","20 mg/1","CAPSULE","ORAL","ANDA202827","Hikma Pharmaceuticals USA Inc.","0054-0370","lisdexamfetamine dimesylate","LISDEXAMFETAMINE DIMESYLATE","HUMAN PRESCRIPTION DRUG","08/25/2023","N/A","ANDA","100 CAPSULE in 1 BOTTLE (0054-0370-25)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Lisdexamfetamine Dimesylate","0054-0371-25","30 mg/1","CAPSULE","ORAL","ANDA202827","Hikma Pharmaceuticals USA Inc.","0054-0371","lisdexamfetamine dimesylate","LISDEXAMFETAMINE DIMESYLATE","HUMAN PRESCRIPTION DRUG","08/25/2023","N/A","ANDA","100 CAPSULE in 1 BOTTLE (0054-0371-25)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Lisdexamfetamine Dimesylate","0054-0372-25","40 mg/1","CAPSULE","ORAL","ANDA202827","Hikma Pharmaceuticals USA Inc.","0054-0372","lisdexamfetamine dimesylate","LISDEXAMFETAMINE DIMESYLATE","HUMAN PRESCRIPTION DRUG","08/25/2023","N/A","ANDA","100 CAPSULE in 1 BOTTLE (0054-0372-25)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Lisdexamfetamine Dimesylate","0054-0373-25","50 mg/1","CAPSULE","ORAL","ANDA202827","Hikma Pharmaceuticals USA Inc.","0054-0373","lisdexamfetamine dimesylate","LISDEXAMFETAMINE DIMESYLATE","HUMAN PRESCRIPTION DRUG","08/25/2023","N/A","ANDA","100 CAPSULE in 1 BOTTLE (0054-0373-25)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Lisdexamfetamine Dimesylate","0054-0374-25","60 mg/1","CAPSULE","ORAL","ANDA202827","Hikma Pharmaceuticals USA Inc.","0054-0374","lisdexamfetamine dimesylate","LISDEXAMFETAMINE DIMESYLATE","HUMAN PRESCRIPTION DRUG","08/25/2023","N/A","ANDA","100 CAPSULE in 1 BOTTLE (0054-0374-25)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Lisdexamfetamine Dimesylate","0054-0375-25","70 mg/1","CAPSULE","ORAL","ANDA202827","Hikma Pharmaceuticals USA Inc.","0054-0375","lisdexamfetamine dimesylate","LISDEXAMFETAMINE DIMESYLATE","HUMAN PRESCRIPTION DRUG","08/25/2023","N/A","ANDA","100 CAPSULE in 1 BOTTLE (0054-0375-25)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Lisdexamfetamine Dimesylate","0054-0660-25","10 mg/1","CAPSULE","ORAL","ANDA202827","Hikma Pharmaceuticals USA Inc.","0054-0660","lisdexamfetamine dimesylate","LISDEXAMFETAMINE DIMESYLATE","HUMAN PRESCRIPTION DRUG","01/17/2024","N/A","ANDA","100 CAPSULE in 1 BOTTLE (0054-0660-25)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Lisdexamfetamine Dimesylate","0378-6854-77","10 mg/1","CAPSULE","ORAL","ANDA202835","Mylan Pharmaceuticals Inc.","0378-6854","lisdexamfetamine","LISDEXAMFETAMINE DIMESYLATE","HUMAN PRESCRIPTION DRUG","08/25/2023","N/A","ANDA","90 CAPSULE in 1 BOTTLE, PLASTIC (0378-6854-77)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Lisdexamfetamine Dimesylate","0378-6855-77","20 mg/1","CAPSULE","ORAL","ANDA202835","Mylan Pharmaceuticals Inc.","0378-6855","lisdexamfetamine","LISDEXAMFETAMINE DIMESYLATE","HUMAN PRESCRIPTION DRUG","08/25/2023","N/A","ANDA","90 CAPSULE in 1 BOTTLE, PLASTIC (0378-6855-77)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Lisdexamfetamine Dimesylate","0378-6856-77","30 mg/1","CAPSULE","ORAL","ANDA202835","Mylan Pharmaceuticals Inc.","0378-6856","lisdexamfetamine","LISDEXAMFETAMINE DIMESYLATE","HUMAN PRESCRIPTION DRUG","08/25/2023","N/A","ANDA","90 CAPSULE in 1 BOTTLE, PLASTIC (0378-6856-77)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
