"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"APTENSIO XR","42858-401-45","10 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA205831","Rhodes Pharmaceuticals L.P.","42858-401","methylphenidate hydrochloride","METHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/17/2015","N/A","NDA","90 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (42858-401-45)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"APTENSIO XR","42858-402-45","15 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA205831","Rhodes Pharmaceuticals L.P.","42858-402","methylphenidate hydrochloride","METHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/17/2015","N/A","NDA","90 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (42858-402-45)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"APTENSIO XR","42858-403-45","20 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA205831","Rhodes Pharmaceuticals L.P.","42858-403","methylphenidate hydrochloride","METHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/17/2015","N/A","NDA","90 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (42858-403-45)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"APTENSIO XR","42858-404-45","30 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA205831","Rhodes Pharmaceuticals L.P.","42858-404","methylphenidate hydrochloride","METHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/17/2015","N/A","NDA","90 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (42858-404-45)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"APTENSIO XR","42858-405-45","40 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA205831","Rhodes Pharmaceuticals L.P.","42858-405","methylphenidate hydrochloride","METHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/17/2015","N/A","NDA","90 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (42858-405-45)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"APTENSIO XR","42858-406-45","50 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA205831","Rhodes Pharmaceuticals L.P.","42858-406","methylphenidate hydrochloride","METHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/17/2015","N/A","NDA","90 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (42858-406-45)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"APTENSIO XR","42858-407-45","60 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA205831","Rhodes Pharmaceuticals L.P.","42858-407","methylphenidate hydrochloride","METHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/17/2015","N/A","NDA","90 CAPSULE, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (42858-407-45)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"AZSTARYS","65038-286-99","5.2 mg/1,                         26.1  mg/1","CAPSULE","ORAL","NDA212994","Corium, LLC.","65038-286","Serdexmethylphenidate and Dexmethylphenidate","DEXMETHYLPHENIDATE HYDROCHLORIDE;  SERDEXMETHYLPHENIDATE CHLORIDE","HUMAN PRESCRIPTION DRUG","07/16/2021","N/A","NDA","100 CAPSULE in 1 BOTTLE, PLASTIC (65038-286-99)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"AZSTARYS","65038-429-99","7.8 mg/1,                         39.2  mg/1","CAPSULE","ORAL","NDA212994","Corium, LLC.","65038-429","Serdexmethylphenidate and Dexmethylphenidate","DEXMETHYLPHENIDATE HYDROCHLORIDE;  SERDEXMETHYLPHENIDATE CHLORIDE","HUMAN PRESCRIPTION DRUG","07/16/2021","N/A","NDA","100 CAPSULE in 1 BOTTLE, PLASTIC (65038-429-99)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"AZSTARYS","65038-561-99","10.4 mg/1,                         52.3  mg/1","CAPSULE","ORAL","NDA212994","Corium, LLC.","65038-561","Serdexmethylphenidate and Dexmethylphenidate","DEXMETHYLPHENIDATE HYDROCHLORIDE;  SERDEXMETHYLPHENIDATE CHLORIDE","HUMAN PRESCRIPTION DRUG","07/16/2021","N/A","NDA","100 CAPSULE in 1 BOTTLE, PLASTIC (65038-561-99)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"CONCERTA","50458-585-01","18 mg/1","TABLET, EXTENDED RELEASE","ORAL","NDA021121","Janssen Pharmaceuticals, Inc.","50458-585","Methylphenidate hydrochloride","METHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/01/2000","N/A","NDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE (50458-585-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"CONCERTA","50458-586-01","36 mg/1","TABLET, EXTENDED RELEASE","ORAL","NDA021121","Janssen Pharmaceuticals, Inc.","50458-586","Methylphenidate hydrochloride","METHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/01/2000","N/A","NDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE (50458-586-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"CONCERTA","50458-587-01","54 mg/1","TABLET, EXTENDED RELEASE","ORAL","NDA021121","Janssen Pharmaceuticals, Inc.","50458-587","Methylphenidate hydrochloride","METHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/01/2000","N/A","NDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE (50458-587-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"CONCERTA","50458-588-01","27 mg/1","TABLET, EXTENDED RELEASE","ORAL","NDA021121","Janssen Pharmaceuticals, Inc.","50458-588","Methylphenidate hydrochloride","METHYLPHENIDATE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/01/2000","N/A","NDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE (50458-588-01)","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Cotempla XR-ODT","70165-100-30","8.6 mg/1","TABLET, ORALLY DISINTEGRATING","ORAL","NDA205489","Neos Therapeutics Brands, LLC","70165-100","Methylphenidate","METHYLPHENIDATE","HUMAN PRESCRIPTION DRUG","06/20/2017","N/A","NDA","5 BLISTER PACK in 1 CARTON (70165-100-30)  / 6 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Cotempla XR-ODT","70165-200-30","17.3 mg/1","TABLET, ORALLY DISINTEGRATING","ORAL","NDA205489","Neos Therapeutics Brands, LLC","70165-200","Methylphenidate","METHYLPHENIDATE","HUMAN PRESCRIPTION DRUG","06/20/2017","N/A","NDA","5 BLISTER PACK in 1 CARTON (70165-200-30)  / 6 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
"Cotempla XR-ODT","70165-300-30","25.9 mg/1","TABLET, ORALLY DISINTEGRATING","ORAL","NDA205489","Neos Therapeutics Brands, LLC","70165-300","Methylphenidate","METHYLPHENIDATE","HUMAN PRESCRIPTION DRUG","06/20/2017","N/A","NDA","5 BLISTER PACK in 1 CARTON (70165-300-30)  / 6 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Central Nervous System Stimulant [EPC],  Central Nervous System Stimulation [PE]","CII","No","12/31/2026"
