"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"QELBREE","17772-131-60","100 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-131","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","60 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-131-60)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"QELBREE","17772-131-07","100 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-131","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","7 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-131-07)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","Yes","12/31/2026"
"QELBREE","17772-131-90","100 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-131","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","90 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-131-90)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"QELBREE","17772-131-30","100 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-131","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-131-30)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"QELBREE","17772-131-01","100 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-131","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-131-01)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"QELBREE","17772-132-01","150 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-132","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-132-01)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"QELBREE","17772-132-60","150 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-132","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","60 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-132-60)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"QELBREE","17772-132-30","150 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-132","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-132-30)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"QELBREE","17772-132-90","150 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-132","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","90 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-132-90)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"QELBREE","17772-132-07","150 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-132","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","7 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-132-07)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","Yes","12/31/2026"
"QELBREE","17772-133-01","200 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-133","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-133-01)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"QELBREE","17772-133-07","200 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-133","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","7 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-133-07)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","Yes","12/31/2026"
"QELBREE","17772-133-30","200 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-133","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","30 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-133-30)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"QELBREE","17772-133-60","200 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-133","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","60 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-133-60)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
"QELBREE","17772-133-90","200 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","NDA211964","Supernus Pharmaceuticals, Inc","17772-133","viloxazine hydrochloride","VILOXAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/02/2021","N/A","NDA","90 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (17772-133-90)","Cytochrome P450 1A2 Inhibitors [MoA],  Cytochrome P450 2B6 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Norepinephrine Reuptake Inhibitor [EPC],  Norepinephrine Uptake Inhibitors [MoA]","N/A","No","12/31/2026"
